PARTYEAR,Month_Ending,FY_Start_Date,FY_End_Date,TRETSPEF,TRETSPEF_DESCRIPTION,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance,Latest_Month_Flag
202206,30SEP22,01APR22,31MAR23,371,Nuclear Medicine Service,61,54,29,32,30,60,6,3953,2942,98,1460,1482,1
202206,30SEP22,01APR22,31MAR23,400,Neurology Service,14121,11276,4839,9282,8623,12636,2039,194693,129641,15460,39991,89650,1
202206,30SEP22,01APR22,31MAR23,401,Clinical Neurophysiology Service,110,97,41,69,65,109,1,21116,15926,1679,14470,1456,1
202206,30SEP22,01APR22,31MAR23,410,Rheumatology Service,12717,10331,1530,11187,9739,12048,461,253616,173328,15343,29918,143409,1
202206,30SEP22,01APR22,31MAR23,420,Paediatric Service,61674,8934,57507,4167,2850,58146,47518,195295,142003,17505,67643,74358,1
202206,30SEP22,01APR22,31MAR23,421,Paediatric Neurology Service,1005,750,305,700,564,943,105,11616,8135,815,2064,6071,1
202206,30SEP22,01APR22,31MAR23,422,Neonatal Critical Care Service,11885,3943,11862,23,13,9149,567,8934,6989,650,2548,4441,1
202206,30SEP22,01APR22,31MAR23,424,Well Baby Service,35290,1435,35284,6,1,34755,268,2803,2070,347,981,1089,1
202206,30SEP22,01APR22,31MAR23,430,Elderly Medicine Service,64456,13433,63194,1262,787,22804,20679,39509,28583,2686,12035,16546,1
202206,30SEP22,01APR22,31MAR23,431,Orthogeriatric Medicine Service,24,7,24,0,0,3,3,,,,,,
202206,30SEP22,01APR22,31MAR23,450,Dental Medicine Service,368,320,8,360,312,368,0,9474,6081,773,2127,3954,1
202206,30SEP22,01APR22,31MAR23,451,Special Care Dentistry Service,58,45,0,58,45,58,0,493,262,51,107,155,1
202206,30SEP22,01APR22,31MAR23,460,Medical Ophthalmology Service,738,736,1,737,735,738,0,11327,8532,989,1119,7152,1
202206,30SEP22,01APR22,31MAR23,499,"Non-UK Provider; specialty function not known, tre",14,0,14,0,0,14,11,,,,,,
202206,30SEP22,01APR22,31MAR23,501,Obstetrics Service,83164,37812,82651,513,311,80832,1470,354021,281770,21879,70121,211636,1
202206,30SEP22,01APR22,31MAR23,502,Gynaecology Service,40908,22683,25844,15064,12179,39516,16660,381075,278569,23300,133973,144589,1
202206,30SEP22,01APR22,31MAR23,503,Gynaecological Oncology Service,1691,1238,1222,469,333,1599,97,28979,21270,1506,9600,11670,1
202206,30SEP22,01APR22,31MAR23,505,Fetal Medicine Service,21,10,16,5,4,19,1,5049,4091,378,925,3166,1
202206,30SEP22,01APR22,31MAR23,560,Midwifery Service,17813,5766,17791,22,9,16725,161,346266,269116,19922,50514,218601,1
202206,30SEP22,01APR22,31MAR23,650,Physiotherapy Service,73,59,18,55,53,71,10,432530,331992,37414,91257,240730,1
202206,30SEP22,01APR22,31MAR23,651,Occupational Therapy Service,4,2,3,1,1,4,1,49597,40015,3772,11867,28148,1
202206,30SEP22,01APR22,31MAR23,652,Speech and Language Therapy Service,1,0,1,0,0,1,1,19384,16197,898,3559,12626,1
202206,30SEP22,01APR22,31MAR23,653,Podiatry Service,161,120,9,152,113,160,0,44906,35271,2725,5645,29626,1
202206,30SEP22,01APR22,31MAR23,654,Dietetics Service,4,4,1,3,3,4,0,63201,49804,5152,14336,35468,1
202206,30SEP22,01APR22,31MAR23,655,Orthoptics Service,3,0,0,3,0,3,0,50533,34082,5426,9061,25021,1
202206,30SEP22,01APR22,31MAR23,656,Clinical Psychology Service,2,1,1,1,0,2,1,15110,11678,1169,2105,9573,1
202206,30SEP22,01APR22,31MAR23,657,Prosthetics Service,0,0,0,0,0,0,0,1906,1633,74,193,1440,1
202206,30SEP22,01APR22,31MAR23,658,Orthotics Service,1,1,0,1,1,1,0,31778,23651,2260,8117,15534,1
202206,30SEP22,01APR22,31MAR23,659,Dramatherapy Service,,,,,,,,3,1,1,0,1,1
202206,30SEP22,01APR22,31MAR23,660,Art Therapy Service,,,,,,,,1,0,0,0,0,1
202206,30SEP22,01APR22,31MAR23,661,Music Therapy Service,,,,,,,,2,1,0,0,1,1
202206,30SEP22,01APR22,31MAR23,662,Optometry Service,1,1,1,0,0,1,1,9424,6936,884,2169,4767,1
202206,30SEP22,01APR22,31MAR23,663,Podiatric Surgery Service,232,162,5,227,159,232,1,3238,2153,179,463,1690,1
202206,30SEP22,01APR22,31MAR23,670,Urological Physiology Service,,,,,,,,7,3,1,3,0,1
202206,30SEP22,01APR22,31MAR23,675,Cardiac Physiology Service,,,,,,,,3515,2717,173,1506,1206,1
202206,30SEP22,01APR22,31MAR23,677,Gastrointestinal Physiology Service,22,22,0,22,22,22,0,24,14,3,14,0,1
202206,30SEP22,01APR22,31MAR23,700,Learning Disability Service,187,0,185,2,0,179,67,11249,9431,840,2272,7159,1
202206,30SEP22,01APR22,31MAR23,710,Adult Mental Health Service,3343,14,3339,4,2,2406,1767,103127,78383,11924,10035,68348,1
202206,30SEP22,01APR22,31MAR23,711,Child and Adolescent Psychiatry Service,80,0,80,0,0,60,30,30520,25187,2142,3087,22100,1
202206,30SEP22,01APR22,31MAR23,712,Forensic Psychiatry Service,99,0,99,0,0,55,19,1932,1714,73,200,1514,1
202206,30SEP22,01APR22,31MAR23,713,Medical Psychotherapy Service,21,8,12,9,8,19,10,5137,3838,463,497,3341,1
202206,30SEP22,01APR22,31MAR23,715,Old Age Psychiatry Service,477,6,477,0,0,359,201,17215,13946,735,2842,11104,1
202206,30SEP22,01APR22,31MAR23,720,Eating Disorders Service,10,0,10,0,0,10,2,1663,1355,92,129,1226,1
202206,30SEP22,01APR22,31MAR23,721,Addiction Service,16,0,16,0,0,15,1,330,214,71,48,166,1
202206,30SEP22,01APR22,31MAR23,722,Liaison Psychiatry Service,3,0,3,0,0,2,2,821,665,88,239,426,1
202206,30SEP22,01APR22,31MAR23,723,Psychiatric Intensive Care Service,59,0,59,0,0,29,8,,,,,,
202206,30SEP22,01APR22,31MAR23,724,Perinatal Mental Health Service,13,0,13,0,0,13,6,438,284,73,28,256,1
202206,30SEP22,01APR22,31MAR23,725,Mental Health Recovery and Rehabilitation Service,2,0,2,0,0,2,0,448,277,52,35,242,1
202206,30SEP22,01APR22,31MAR23,726,Mental Health Dual Diagnosi,0,0,0,0,0,0,0,,,,,,
202206,30SEP22,01APR22,31MAR23,727,Dementia Assessment Service,,,,,,,,365,348,13,15,333,1
202206,30SEP22,01APR22,31MAR23,800,Clinical Oncology Service,36461,29764,4899,31562,27692,35298,2773,277897,238174,5611,35381,202793,1
202206,30SEP22,01APR22,31MAR23,811,Interventional Radiology Service,6319,4457,1454,4865,3530,5392,97,7599,6210,361,4005,2205,1
202206,30SEP22,01APR22,31MAR23,812,Diagnostic Imaging Service,1010,787,125,885,711,965,27,452279,430203,4838,219667,210535,1
202206,30SEP22,01APR22,31MAR23,822,Chemical Pathology Service,285,179,14,271,170,284,0,8170,5222,688,1554,3668,1
202206,30SEP22,01APR22,31MAR23,834,Medical Virology Service,88,85,1,87,84,88,0,4565,3557,598,1855,1702,1
202206,30SEP22,01APR22,31MAR23,840,Audiology Service,5,3,1,4,3,5,1,143006,123439,6876,48648,74791,1
202206,30SEP22,01APR22,31MAR23,920,Diabetic Education Service,,,,,,,,326,243,53,96,147,1
202206,31AUG22,01APR22,31MAR23,&,Not Known,709,310,676,33,32,645,69,14382,11002,1774,3052,7950,1
202206,31AUG22,01APR22,31MAR23,100,General Surgery Service,107545,72228,69008,38537,35884,96575,50710,218459,169492,12861,67453,101973,1
202206,31AUG22,01APR22,31MAR23,101,Urology Service,55237,43721,25350,29887,26875,51327,12485,324084,238560,20122,72315,166243,1
202206,31AUG22,01APR22,31MAR23,102,Transplant Surgery Service,1138,791,901,237,210,815,311,10212,7963,672,884,7079,1
202206,31AUG22,01APR22,31MAR23,103,Breast Surgery Service,6348,6058,2006,4342,4184,6259,58,152021,121722,7069,56881,64822,1
202206,31AUG22,01APR22,31MAR23,104,Colorectal Surgery Service,26255,22343,8387,17868,17168,24050,3290,115847,87905,6532,43736,44168,1
202206,31AUG22,01APR22,31MAR23,105,Hepatobiliary and Pancreatic Surgery Service,2675,1734,2320,355,320,1841,683,9407,6971,583,1949,5022,1
202206,31AUG22,01APR22,31MAR23,106,Upper Gastrointestinal Surgery Service,8365,6306,4181,4184,3893,7198,1927,20215,14846,1299,6205,8641,1
202206,31AUG22,01APR22,31MAR23,107,Vascular Surgery Service,7825,5943,5330,2495,2197,6531,2259,54838,38514,3832,17151,21363,1
202206,31AUG22,01APR22,31MAR23,108,Spinal Surgery Service,3820,3137,2200,1620,1513,3449,663,29358,22592,1810,8298,14294,1
202206,31AUG22,01APR22,31MAR23,109,Bariatric Surgery Service,116,106,103,13,13,114,1,2068,1402,235,204,1198,1
202206,31AUG22,01APR22,31MAR23,110,Trauma and Orthopaedic Service,78342,65181,50752,27590,25801,71100,22773,709227,558479,46212,203909,354559,1
202206,31AUG22,01APR22,31MAR23,111,Orthopaedic Service,138,114,97,41,38,118,5,4306,2677,253,508,2169,1
202206,31AUG22,01APR22,31MAR23,113,Endocrine Surgery Service,40,38,39,1,1,39,0,952,507,56,169,338,1
202206,31AUG22,01APR22,31MAR23,115,Trauma Surgery Service,296,239,229,67,50,284,170,3798,2774,384,1243,1531,1
202206,31AUG22,01APR22,31MAR23,120,Ear Nose and Throat Service,20551,15490,10953,9598,8859,19684,6675,285408,199352,22952,88229,111122,1
202206,31AUG22,01APR22,31MAR23,130,Ophthalmology Service,73434,70213,2469,70965,68123,72945,1276,855428,644879,55925,162477,480557,1
202206,31AUG22,01APR22,31MAR23,140,Oral Surgery Service,10389,9501,1633,8756,8213,10132,746,80156,56973,7261,25203,31770,1
202206,31AUG22,01APR22,31MAR23,141,Restorative Dentistry Service,460,449,14,446,437,459,2,22190,16064,1481,4081,11983,1
202206,31AUG22,01APR22,31MAR23,142,Paediatric Dentistry Service,1792,1552,27,1765,1526,1792,5,10059,6655,1003,2323,4332,1
202206,31AUG22,01APR22,31MAR23,143,Orthodontic Service,31,28,6,25,24,31,3,68253,49802,5133,4378,45423,1
202206,31AUG22,01APR22,31MAR23,144,Maxillofacial Surgery Service,6977,6080,2391,4586,4275,6830,1383,56230,40245,4955,15167,25078,1
202206,31AUG22,01APR22,31MAR23,145,Oral and Maxillofacial Surgery Service,976,860,294,682,644,953,201,6503,4763,535,1992,2769,1
202206,31AUG22,01APR22,31MAR23,150,Neurosurgical Service,6633,5335,5578,1055,954,5371,1848,41494,29211,2451,9321,19890,1
202206,31AUG22,01APR22,31MAR23,160,Plastic Surgery Service,18955,16717,5859,13096,12157,18395,3748,112060,83952,7323,27030,56922,1
202206,31AUG22,01APR22,31MAR23,161,Burns Care Service,371,223,338,33,33,327,244,6189,4987,383,1253,3734,1
202206,31AUG22,01APR22,31MAR23,170,Cardiothoracic Surgery Service,911,724,891,20,18,656,119,5219,3855,192,1331,2524,1
202206,31AUG22,01APR22,31MAR23,171,Paediatric Surgery Service,4233,3316,2423,1810,1667,3884,1259,19065,12654,1560,5736,6918,1
202206,31AUG22,01APR22,31MAR23,172,Cardiac Surgery Service,2518,2113,2479,39,34,1802,312,7912,6255,329,1741,4514,1
202206,31AUG22,01APR22,31MAR23,173,Thoracic Surgery Service,2339,2015,2187,152,138,2116,295,7748,6089,479,1640,4449,1
202206,31AUG22,01APR22,31MAR23,174,Cardiothoracic Transplantation Service,201,165,145,56,53,183,54,1671,1280,62,58,1222,1
202206,31AUG22,01APR22,31MAR23,180,Emergency Medicine Service,37773,8172,37664,109,94,37276,37121,14374,12379,850,8920,3459,1
202206,31AUG22,01APR22,31MAR23,190,Anaesthetic Service,1382,801,507,875,468,1135,176,86064,68597,4131,22221,46376,1
202206,31AUG22,01APR22,31MAR23,191,Pain Management Service,10498,10053,192,10306,9891,10397,41,72249,52419,6090,13962,38457,1
202206,31AUG22,01APR22,31MAR23,192,Intensive Care Medicine Service,3644,1984,3628,16,12,1286,1157,1771,1300,159,690,610,1
